Description,Category
Fuel for the car (Petrol),Travel
New novel from local bookstore,Shopping
Internet service provider fee,Bills
Coffee and bagel from Starbucks,Food
Bus pass renewal,Travel
Water bill payment,Bills
New headset from Flipkart,Shopping
Dinner at an Italian restaurant,Food
Subway fare for the day,Travel
Annual gym membership fee,Bills
Vegetables from the farmer's market,Food
Flight ticket to New York,Travel
Laptop repair service charge,Tech
Haircut and beard trim,Personal Care
Insurance premium for the car,Bills
Takeout from a Thai place,Food
Toll plaza charges,Travel
Domain name registration fee,Tech
Purchase of running shorts,Shopping
Gas utility bill,Bills
Parking fee at the mall,Travel
Purchase of printer ink,Tech
Birthday gift for a friend,Shopping
Payment for Spotify Family Plan,Bills
Vending machine snack,Food
Cab to the airport,Travel
Web hosting service renewal,Tech
Buy a new t-shirt from Myntra,Shopping
Dental check-up fee,Health
Movie tickets for two,Entertainment
Dinner at home using delivery service,Food
Monthly metro card reload,Travel
Mobile phone bill payment,Bills
New frying pan set,Shopping
Consultation fee with a specialist doctor,Health
Entry ticket to a museum,Entertainment
Breakfast at a roadside stall,Food
Bicycle maintenance and service,Travel
Purchase of antivirus software,Tech
Sunscreen and lotion from a pharmacy,Personal Care
Property tax payment,Bills
Intercity bus ticket,Travel
New monitor from Croma,Tech
Handbag purchase,Shopping
Purchase of prescribed medicine,Health
Arcade game tokens,Entertainment
Cooking oil and spices,Food
Taxi from the train station,Travel
Software license renewal,Tech
Pedicure and manicure service,Personal Care
Home loan EMI,Bills
Scooter rental for a weekend trip,Travel
External hard drive purchase,Tech
Purchase of decorative candles,Shopping
Emergency room visit co-pay,Health
Concert ticket for a rock band,Entertainment
Tea and biscuits from a local vendor,Food
Refill of windshield washer fluid,Travel
"Cloud storage subscription (e.g., Dropbox)",Tech
New eyeglasses/contact lenses,Personal Care
Life insurance premium,Bills
Ferry ticket across the bay,Travel
Graphic design software subscription,Tech
Face wash and shampoo,Personal Care
New couch from IKEA,Shopping
Physiotherapy session fee,Health
Stand-up comedy show ticket,Entertainment
Buying chicken and meat,Food
E-scooter rental fare,Travel
Online course enrollment fee,Education
Pet grooming service,Pets
Donation to a charity organization,Misc
Car wash service,Travel
Gaming console purchase,Tech
Watch purchase from Titan,Shopping
Yoga class subscription,Health
Subscription to an online newspaper,Bills
Textbook for university course,Education
Dog food and treats,Pets
Purchase of gardening tools,Home Maintenance
Dry cleaning services,Personal Care
Workshop registration fee,Education
Veterinary consultation,Health
"Aquarium supplies (fish food, filter)",Pets
Replacement light bulbs,Home Maintenance
New running shoes,Shopping
Language learning app subscription,Education
Board game purchase,Entertainment
Purchase of paint and brushes,Home Maintenance
Water dispenser refill,Home Maintenance
Annual portfolio review fee,Finance
Investment advisory service,Finance
Stocks/Mutual fund purchase,Finance
Purchase of a bond/CD,Finance
Banking fee / ATM withdrawal fee,Finance
Tax preparation service fee,Finance
Legal consultation fee,Legal
Notary public fee,Legal
Passport application fee,Legal
Visa processing fee,Legal
Fine for late book return (library),Misc
Courier service charge,Misc
Printing and photocopying service,Misc
Gift card purchase,Misc
Repair of a broken window,Home Maintenance
Locksmith service fee,Home Maintenance
Hiring a plumber to fix a leak,Home Maintenance
Tree trimming service,Home Maintenance
Home security system monitoring fee,Bills
New pet leash and collar,Pets
Purchase of cat litter,Pets
Annual membership to a professional body,Education
Tuition fee payment,Education
Academic journal subscription,Education
Buying a drone,Tech
Bluetooth speaker purchase,Tech
External battery pack,Tech
Digital art tablet,Tech
Purchase of video games,Entertainment
Theme park admission ticket,Entertainment
Bar tab/drinks with friends,Entertainment
Tickets to a sports event (cricket/football),Entertainment
Hair dye and styling products,Personal Care
Body massage/Spa day,Personal Care
Manicure set and nail polish,Personal Care
Purchase of new spectacles,Personal Care
Donation to a political campaign,Misc
Traffic violation fine,Legal
Passport renewal fee,Legal
New wallet purchase,Shopping
Socks and undergarments,Shopping
Grocery from Big Bazaar,Food
Ola cab fare 200,Travel
Amazon order for shoes,Shopping
Paid mobile recharge,Bills
Lunch at McDonalds,Food
Flight booking Indigo,Travel
Netflix monthly payment,Bills
Myntra clothing order,Shopping
